Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Mensa	Ob Mensa, Cafeteria oder Kaffebar: Es gibt verschiedene Möglichkeiten, satt zu werden oder sich auf einen Kaffee zu treffen. Und das in den meisten Fällen zu studierendenfreundlichen Preisen. Die \n\n[Speisepläne](http://www.studierendenwerk-bielefeld.de/)\n\n des Studierendenwerks findet man online.\n\nHier eine Übersicht der Angebote nach Standorten:\n\n \n\n \n\nBielefeld\n\nAngebote des \n\n[Studierendenwerks Bielefeld](http://www.studierendenwerk-bielefeld.de/)\n\n:\n\nDie Fachhochschule Bielefeld und die Universität Bielefeld nutzen gemeinsam die \n\n[Mensa im Gebäude X](http://www.studierendenwerk-bielefeld.de/essen-trinken/essen-und-trinken-in-mensen/bielefeld/mensa-gebaeude-x.html)\n\n, in der täglich bis zu 7.500 Mahlzeiten herausgegeben werden können. Vom Hauptgebäude der FH ist die Mensa zu Fuß in wenigen Minuten zu erreichen. \n\nIm Hauptgebäude der FH Bielefeld, Interaktion 1, gibt es außerdem eine \n\n[Cafeteria](http://www.studierendenwerk-bielefeld.de/essen-trinken/essen-und-trinken-in-mensen/bielefeld/cafeteria-fh-hauptgebaeude.html)\n\n und eine Kaffeebar. \n\nIn der Lampingstraße (Fachbereich Gestaltung) gibt es eine eigene \n\n[Cafeteria](http://www.studierendenwerk-bielefeld.de/essen-trinken/essen-und-trinken-in-mensen/bielefeld/cafeteria-fh-lampingstrasse.html)\n\n.\n\n \n\nMinden\n\nAngebote des \n\n[Studierendenwerks Bielefeld](http://www.studierendenwerk-bielefeld.de/)\n\n:\n\nAuf dem Campus Minden befindet sich die \n\n[Mensa](http://www.studierendenwerk-bielefeld.de/essen-trinken/essen-und-trinken-in-mensen/minden.html)\n\n im Gebäude D.\n\n \n\nGütersloh\n\nDer Campus Gütersloh befindet sich in direkter Nähe der Fußgängerzone der Gütersloher Innenstadt. Hier findet man ein breit gefächertes Angebot an Gastronomie und Bäckereien. Einige Restaurants und Bistros bieten Sonderpreise für Studierende an. Informationen dazu findet man z.B. am schwarzen Brett am Campus. Ein gastronomisches Angebot des Studierendenwerks gibt es in Gütersloh nicht.	Editorial		[]	false	[]	44
Cafeteria	Ob Mensa, Cafeteria oder Kaffebar: Es gibt verschiedene Möglichkeiten, satt zu werden oder sich auf einen Kaffee zu treffen. Und das in den meisten Fällen zu studierendenfreundlichen Preisen. Die \n\n[Speisepläne](http://www.studierendenwerk-bielefeld.de/)\n\n des Studierendenwerks findet man online.\n\nHier eine Übersicht der Angebote nach Standorten:\n\n \n\n \n\nBielefeld\n\nAngebote des \n\n[Studierendenwerks Bielefeld](http://www.studierendenwerk-bielefeld.de/)\n\n:\n\nDie Fachhochschule Bielefeld und die Universität Bielefeld nutzen gemeinsam die \n\n[Mensa im Gebäude X](http://www.studierendenwerk-bielefeld.de/essen-trinken/essen-und-trinken-in-mensen/bielefeld/mensa-gebaeude-x.html)\n\n, in der täglich bis zu 7.500 Mahlzeiten herausgegeben werden können. Vom Hauptgebäude der FH ist die Mensa zu Fuß in wenigen Minuten zu erreichen. \n\nIm Hauptgebäude der FH Bielefeld, Interaktion 1, gibt es außerdem eine \n\n[Cafeteria](http://www.studierendenwerk-bielefeld.de/essen-trinken/essen-und-trinken-in-mensen/bielefeld/cafeteria-fh-hauptgebaeude.html)\n\n und eine Kaffeebar. \n\nIn der Lampingstraße (Fachbereich Gestaltung) gibt es eine eigene \n\n[Cafeteria](http://www.studierendenwerk-bielefeld.de/essen-trinken/essen-und-trinken-in-mensen/bielefeld/cafeteria-fh-lampingstrasse.html)\n\n.\n\n \n\nMinden\n\nAngebote des \n\n[Studierendenwerks Bielefeld](http://www.studierendenwerk-bielefeld.de/)\n\n:\n\nAuf dem Campus Minden befindet sich die \n\n[Mensa](http://www.studierendenwerk-bielefeld.de/essen-trinken/essen-und-trinken-in-mensen/minden.html)\n\n im Gebäude D.\n\n \n\nGütersloh\n\nDer Campus Gütersloh befindet sich in direkter Nähe der Fußgängerzone der Gütersloher Innenstadt. Hier findet man ein breit gefächertes Angebot an Gastronomie und Bäckereien. Einige Restaurants und Bistros bieten Sonderpreise für Studierende an. Informationen dazu findet man z.B. am schwarzen Brett am Campus. Ein gastronomisches Angebot des Studierendenwerks gibt es in Gütersloh nicht.	Editorial		[]	false	[]	44
Kaffee	Ob Mensa, Cafeteria oder Kaffebar: Es gibt verschiedene Möglichkeiten, satt zu werden oder sich auf einen Kaffee zu treffen. Und das in den meisten Fällen zu studierendenfreundlichen Preisen. Die \n\n[Speisepläne](http://www.studierendenwerk-bielefeld.de/)\n\n des Studierendenwerks findet man online.\n\nHier eine Übersicht der Angebote nach Standorten:\n\n \n\n \n\nBielefeld\n\nAngebote des \n\n[Studierendenwerks Bielefeld](http://www.studierendenwerk-bielefeld.de/)\n\n:\n\nDie Fachhochschule Bielefeld und die Universität Bielefeld nutzen gemeinsam die \n\n[Mensa im Gebäude X](http://www.studierendenwerk-bielefeld.de/essen-trinken/essen-und-trinken-in-mensen/bielefeld/mensa-gebaeude-x.html)\n\n, in der täglich bis zu 7.500 Mahlzeiten herausgegeben werden können. Vom Hauptgebäude der FH ist die Mensa zu Fuß in wenigen Minuten zu erreichen. \n\nIm Hauptgebäude der FH Bielefeld, Interaktion 1, gibt es außerdem eine \n\n[Cafeteria](http://www.studierendenwerk-bielefeld.de/essen-trinken/essen-und-trinken-in-mensen/bielefeld/cafeteria-fh-hauptgebaeude.html)\n\n und eine Kaffeebar. \n\nIn der Lampingstraße (Fachbereich Gestaltung) gibt es eine eigene \n\n[Cafeteria](http://www.studierendenwerk-bielefeld.de/essen-trinken/essen-und-trinken-in-mensen/bielefeld/cafeteria-fh-lampingstrasse.html)\n\n.\n\n \n\nMinden\n\nAngebote des \n\n[Studierendenwerks Bielefeld](http://www.studierendenwerk-bielefeld.de/)\n\n:\n\nAuf dem Campus Minden befindet sich die \n\n[Mensa](http://www.studierendenwerk-bielefeld.de/essen-trinken/essen-und-trinken-in-mensen/minden.html)\n\n im Gebäude D.\n\n \n\nGütersloh\n\nDer Campus Gütersloh befindet sich in direkter Nähe der Fußgängerzone der Gütersloher Innenstadt. Hier findet man ein breit gefächertes Angebot an Gastronomie und Bäckereien. Einige Restaurants und Bistros bieten Sonderpreise für Studierende an. Informationen dazu findet man z.B. am schwarzen Brett am Campus. Ein gastronomisches Angebot des Studierendenwerks gibt es in Gütersloh nicht.	Editorial		[]	false	[]	44
Wohnen	Ob Wohngemeinschaft (WG), im Wohnheim oder in der eigenen Bude – es bestehen viele Möglichkeiten, wie man während des Studiums wohnen kann.**\n\n Wohnheime \n\nStudierendenwerk Bielefeld\n\nDie meisten Wohnheime in Bielefeld  und auch zwei  in Minden betreibt das Studierendenwerk. Von dem kleinen Einzelappartement bis zum Zimmer in einer 5er-WG ist hier für jeden Geschmack das richtige dabei. Der Antrag für einen Platz im Studierendenwohnheim kann gestellt werden, sobald die Zulassung für den Studienplatz da ist. Es gelten dabei Vergaberegeln.\n\nAktuelle freie Plätze unter: \n\n[www.studierendenwerk-bielefeld.de/wohnen/aktuelle-angebote-des-stw.html](http://www.studierendenwerk-bielefeld.de/wohnen/aktuelle-angebote-des-stw.html)\n\nPrivate Wohnheime\n\nAuch einige private Firmen betreiben Wohnheime mit WGs oder Einzelapartments in Bielefeld:\n\n BGW Bielefelder Gesellschaft für Wohnen und Immobiliendienstleistungen mbH \n\n[studierende-bielefeld.de](https://studierende-bielefeld.de/)\n\nKreuzbergerstraße 3, 5, 7, 9, 11, 13 und 15 in 33619 Bielefeld\n\nRoggenkamp 18, 20, 22 und 24 in 33605 Bielefeld\n\nTeichstraße 20, 22 und 24 in 33615 Bielefeld\n\nFriedrichstraße 64 in 33615 Bielefeld\n\nLipper Hellweg 70 in 33605 Bielefeld\n\n Hollensiek GbR \n\n[www.studentenwohnung-bielefeld.de](http://www.studentenwohnung-bielefeld.de/)\n\nHollensiek 3, 5, und 7 in 3,5,7 in 33619 Bielefeld\n\n Hollensiek GmbH \n\n[www.hollensiek.de](http://www.hollensiek.de)\n\nAugust-Bebel-Straße 57 a-c in 33602 Bielefeld\n\nLuisenstraße 12 in 33602 Bielefeld\n\nWertherstraße 301 in 33619 Bielefeld\n\n Sozialwerk Bielefelder Freimaurer e.V. \n\n[www.ostmannturm.de](http://www.ostmannturm.de)\n\nHanns-Bisegger-Straße 7 in 33602 Bielefeld\n\n Studentenwohnen Bielefeld  \n\n[www.studentenwohnen-bielefeld.de](http://www.studentenwohnen-bielefeld.de/)\n\nGustav-Bastert-Straße / Ecke Salzufler Straße in 33719 Bielefeld\n\n Wohnungsmarkt \n\nStudierendenwerk Bielefeld\n\nDas Studierendenwerk Bielefeld sammelt auf seiner Internetseite auch Angebote privater Anbieter speziell für Studierende: \n\n[www.studierendenwerk-bielefeld.de/wohnen/private-mietangebote](http://www.studierendenwerk-bielefeld.de/wohnen/private-mietangebote.html)\n\nOnline-Portale\n\nPortale der Lokalzeitungen Bielefeld:**\n\nNeue Westfälische \n\n[www.nw-immo.de](http://www.nw-immo.de)\n\nWestfalen-Blatt \n\n[www.wb-immo.net](http://www.wb-immo.net)\n\nWohnungsgenossenschaften\n\n  Bielefeld: \n\nBaugenossenschaft Freie Scholle eG: \n\n[www.freie-scholle.de](http://www.freie-scholle.de/)\n\nBauverein \"Am Schildhof\" Bielefeld eG: \n\n[www.bauverein-schildhof.de](http://www.bauverein-schildhof.de/)\n\nBielefelder Gemeinnützige Wohnungsbaugesellschaft mbH (BGW): \n\n[www.bgw-bielefeld.de](https://www.bgw-bielefeld.de/)\n\nBielefelder Wohnungsverein eG: \n\n[www.bwv-bielefeld.de](http://www.bwv-bielefeld.de)\n\nGemeinnützige Baugenossenschaft:  \n\n[www.gbb-brackwede.de](http://www.gbb-brackwede.de)\n\n Gütersloh: \n\nGemeinnütziger Bauverein Gütersloh eG: \n\n[www.bauverein-gt.de](http://www.bauverein-gt.de/)	Editorial		[]	false	[]	45
Wohnung	Ob Wohngemeinschaft (WG), im Wohnheim oder in der eigenen Bude – es bestehen viele Möglichkeiten, wie man während des Studiums wohnen kann.**\n\n Wohnheime \n\nStudierendenwerk Bielefeld\n\nDie meisten Wohnheime in Bielefeld  und auch zwei  in Minden betreibt das Studierendenwerk. Von dem kleinen Einzelappartement bis zum Zimmer in einer 5er-WG ist hier für jeden Geschmack das richtige dabei. Der Antrag für einen Platz im Studierendenwohnheim kann gestellt werden, sobald die Zulassung für den Studienplatz da ist. Es gelten dabei Vergaberegeln.\n\nAktuelle freie Plätze unter: \n\n[www.studierendenwerk-bielefeld.de/wohnen/aktuelle-angebote-des-stw.html](http://www.studierendenwerk-bielefeld.de/wohnen/aktuelle-angebote-des-stw.html)\n\nPrivate Wohnheime\n\nAuch einige private Firmen betreiben Wohnheime mit WGs oder Einzelapartments in Bielefeld:\n\n BGW Bielefelder Gesellschaft für Wohnen und Immobiliendienstleistungen mbH \n\n[studierende-bielefeld.de](https://studierende-bielefeld.de/)\n\nKreuzbergerstraße 3, 5, 7, 9, 11, 13 und 15 in 33619 Bielefeld\n\nRoggenkamp 18, 20, 22 und 24 in 33605 Bielefeld\n\nTeichstraße 20, 22 und 24 in 33615 Bielefeld\n\nFriedrichstraße 64 in 33615 Bielefeld\n\nLipper Hellweg 70 in 33605 Bielefeld\n\n Hollensiek GbR \n\n[www.studentenwohnung-bielefeld.de](http://www.studentenwohnung-bielefeld.de/)\n\nHollensiek 3, 5, und 7 in 3,5,7 in 33619 Bielefeld\n\n Hollensiek GmbH \n\n[www.hollensiek.de](http://www.hollensiek.de)\n\nAugust-Bebel-Straße 57 a-c in 33602 Bielefeld\n\nLuisenstraße 12 in 33602 Bielefeld\n\nWertherstraße 301 in 33619 Bielefeld\n\n Sozialwerk Bielefelder Freimaurer e.V. \n\n[www.ostmannturm.de](http://www.ostmannturm.de)\n\nHanns-Bisegger-Straße 7 in 33602 Bielefeld\n\n Studentenwohnen Bielefeld  \n\n[www.studentenwohnen-bielefeld.de](http://www.studentenwohnen-bielefeld.de/)\n\nGustav-Bastert-Straße / Ecke Salzufler Straße in 33719 Bielefeld\n\n Wohnungsmarkt \n\nStudierendenwerk Bielefeld\n\nDas Studierendenwerk Bielefeld sammelt auf seiner Internetseite auch Angebote privater Anbieter speziell für Studierende: \n\n[www.studierendenwerk-bielefeld.de/wohnen/private-mietangebote](http://www.studierendenwerk-bielefeld.de/wohnen/private-mietangebote.html)\n\nOnline-Portale\n\nPortale der Lokalzeitungen Bielefeld:**\n\nNeue Westfälische \n\n[www.nw-immo.de](http://www.nw-immo.de)\n\nWestfalen-Blatt \n\n[www.wb-immo.net](http://www.wb-immo.net)\n\nWohnungsgenossenschaften\n\n  Bielefeld: \n\nBaugenossenschaft Freie Scholle eG: \n\n[www.freie-scholle.de](http://www.freie-scholle.de/)\n\nBauverein \"Am Schildhof\" Bielefeld eG: \n\n[www.bauverein-schildhof.de](http://www.bauverein-schildhof.de/)\n\nBielefelder Gemeinnützige Wohnungsbaugesellschaft mbH (BGW): \n\n[www.bgw-bielefeld.de](https://www.bgw-bielefeld.de/)\n\nBielefelder Wohnungsverein eG: \n\n[www.bwv-bielefeld.de](http://www.bwv-bielefeld.de)\n\nGemeinnützige Baugenossenschaft:  \n\n[www.gbb-brackwede.de](http://www.gbb-brackwede.de)\n\n Gütersloh: \n\nGemeinnütziger Bauverein Gütersloh eG: \n\n[www.bauverein-gt.de](http://www.bauverein-gt.de/)	Editorial		[]	false	[]	45
Wohnheim	Ob Wohngemeinschaft (WG), im Wohnheim oder in der eigenen Bude – es bestehen viele Möglichkeiten, wie man während des Studiums wohnen kann.**\n\n Wohnheime \n\nStudierendenwerk Bielefeld\n\nDie meisten Wohnheime in Bielefeld  und auch zwei  in Minden betreibt das Studierendenwerk. Von dem kleinen Einzelappartement bis zum Zimmer in einer 5er-WG ist hier für jeden Geschmack das richtige dabei. Der Antrag für einen Platz im Studierendenwohnheim kann gestellt werden, sobald die Zulassung für den Studienplatz da ist. Es gelten dabei Vergaberegeln.\n\nAktuelle freie Plätze unter: \n\n[www.studierendenwerk-bielefeld.de/wohnen/aktuelle-angebote-des-stw.html](http://www.studierendenwerk-bielefeld.de/wohnen/aktuelle-angebote-des-stw.html)\n\nPrivate Wohnheime\n\nAuch einige private Firmen betreiben Wohnheime mit WGs oder Einzelapartments in Bielefeld:\n\n BGW Bielefelder Gesellschaft für Wohnen und Immobiliendienstleistungen mbH \n\n[studierende-bielefeld.de](https://studierende-bielefeld.de/)\n\nKreuzbergerstraße 3, 5, 7, 9, 11, 13 und 15 in 33619 Bielefeld\n\nRoggenkamp 18, 20, 22 und 24 in 33605 Bielefeld\n\nTeichstraße 20, 22 und 24 in 33615 Bielefeld\n\nFriedrichstraße 64 in 33615 Bielefeld\n\nLipper Hellweg 70 in 33605 Bielefeld\n\n Hollensiek GbR \n\n[www.studentenwohnung-bielefeld.de](http://www.studentenwohnung-bielefeld.de/)\n\nHollensiek 3, 5, und 7 in 3,5,7 in 33619 Bielefeld\n\n Hollensiek GmbH \n\n[www.hollensiek.de](http://www.hollensiek.de)\n\nAugust-Bebel-Straße 57 a-c in 33602 Bielefeld\n\nLuisenstraße 12 in 33602 Bielefeld\n\nWertherstraße 301 in 33619 Bielefeld\n\n Sozialwerk Bielefelder Freimaurer e.V. \n\n[www.ostmannturm.de](http://www.ostmannturm.de)\n\nHanns-Bisegger-Straße 7 in 33602 Bielefeld\n\n Studentenwohnen Bielefeld  \n\n[www.studentenwohnen-bielefeld.de](http://www.studentenwohnen-bielefeld.de/)\n\nGustav-Bastert-Straße / Ecke Salzufler Straße in 33719 Bielefeld\n\n Wohnungsmarkt \n\nStudierendenwerk Bielefeld\n\nDas Studierendenwerk Bielefeld sammelt auf seiner Internetseite auch Angebote privater Anbieter speziell für Studierende: \n\n[www.studierendenwerk-bielefeld.de/wohnen/private-mietangebote](http://www.studierendenwerk-bielefeld.de/wohnen/private-mietangebote.html)\n\nOnline-Portale\n\nPortale der Lokalzeitungen Bielefeld:**\n\nNeue Westfälische \n\n[www.nw-immo.de](http://www.nw-immo.de)\n\nWestfalen-Blatt \n\n[www.wb-immo.net](http://www.wb-immo.net)\n\nWohnungsgenossenschaften\n\n  Bielefeld: \n\nBaugenossenschaft Freie Scholle eG: \n\n[www.freie-scholle.de](http://www.freie-scholle.de/)\n\nBauverein \"Am Schildhof\" Bielefeld eG: \n\n[www.bauverein-schildhof.de](http://www.bauverein-schildhof.de/)\n\nBielefelder Gemeinnützige Wohnungsbaugesellschaft mbH (BGW): \n\n[www.bgw-bielefeld.de](https://www.bgw-bielefeld.de/)\n\nBielefelder Wohnungsverein eG: \n\n[www.bwv-bielefeld.de](http://www.bwv-bielefeld.de)\n\nGemeinnützige Baugenossenschaft:  \n\n[www.gbb-brackwede.de](http://www.gbb-brackwede.de)\n\n Gütersloh: \n\nGemeinnütziger Bauverein Gütersloh eG: \n\n[www.bauverein-gt.de](http://www.bauverein-gt.de/)	Editorial		[]	false	[]	45
Rechtsgrundlagen und Bekanntmachungen	Die Prüfungsordnungen wurden bei den entsprechenden \n\n[Studiengängen](https://www.fh-bielefeld.de/studiengaenge \"Studiengänge\")\n\n hinterlegt.\n\nGesetzte und Verordnungen finden Sie in der \n\n[juristischen Datenbank](https://recht.nrw.de/lmi/owa/br_start)\n\n des Landes NRW.\n\nZwischenzeitlich ungültig gewordene Rechtsgrundlagen finden Sie im Archiv (im Aufbau).\n\nDie Ordnungen und Satzungen treten grundsätzliche am Tag nach ihrer Veröffentlichung in Kraft.\n\n \n\namtliche Bekanntmachungen\n\nDie amtlichen Bekanntmachungen finden Sie \n\n[hier](https://www.fh-bielefeld.de/studium/rund-ums-studium/rechtsgrundlagen-und-bekanntmachungen-fuer-studierende/amtliche-bekanntmachungen \"Amtliche Bekanntmachungen\")\n\n \n\n Satzungen \n\n[Abgabensatzung** (PDF, 76,8 kB)](https://www.fh-bielefeld.de/multimedia/Hochschulverwaltung/Dezernat+II/StudServ/Ordnungen+_+Satzungen/Satzungen/Abgabensatzung.pdf \"Download\")\n\n Ordnungen \n\n[Grundordnung der FH Bielefeld** (PDF, 86,5 kB)](https://www.fh-bielefeld.de/multimedia/Hochschulverwaltung/Dezernat+II/StudServ/Ordnungen+_+Satzungen/Ordnungen/Grundordnung+der+FH+Bielefeld.pdf \"Download\")\n\n[Einschreibungsordnung** (PDF, 117,9 kB)](https://www.fh-bielefeld.de/multimedia/Hochschulverwaltung/Dezernat+II/StudServ/Ordnungen+_+Satzungen/Ordnungen/Einschreibungsordnung.pdf \"Download\")\n\n[Zugangsprüfungsordnung berufl. Qual.** (PDF, 44,6 kB)](https://www.fh-bielefeld.de/multimedia/Hochschulverwaltung/Dezernat+II/StudServ/Ordnungen+_+Satzungen/Ordnungen/Zugangspr%C3%BCfungsordnung+berufl_+Qual_-p-112624.pdf \"Download\")\n\n[Zugangsprüfungsordnung Bildungsausländer** (PDF, 55,9 kB)](https://www.fh-bielefeld.de/multimedia/Hochschulverwaltung/Dezernat+II/StudServ/Ordnungen+_+Satzungen/Ordnungen/Zugangspr%C3%BCfungsordnung+Bildungsausl%C3%A4nder.pdf \"Download\")\n\n[Sprachprüfungsordnung**(PDF, 28,0 kB)](https://www.fh-bielefeld.de/multimedia/Hochschulverwaltung/Dezernat+II/StudServ/Ordnungen+_+Satzungen/Ordnungen/Sprachpr%C3%BCfungsordnung.pdf \"Download\")	Editorial		[]	false	[]	46
Semesterticket	Der AStA der FH Bielefeld hat sich dazu entschlossen, ab dem Sommersemester 2017 am Projekt „Online-Ticket“ der Deutschen Bahn teilzunehmen. Somit erhalten Sie Ihr Semesterticket nicht mehr vom Studierendenservice in Papierform zugeschickt, sondern können es über das \n\n[Portal der Deutschen Bahn](https://www.ots-nrw.de/index.php/product/38/show/0/0/0/0/buy)\n\n selbst beziehen.\n\nDurch das Online-Ticket haben Sie folgende Vorteile:\n\nSie haben die Wahl, ob Sie sich das Ticket ausdrucken oder auf Ihrem Smartphone speichern.\n\nSie können sich Ihr Ticket im Verlustfall jederzeit selbst ausdrucken, ohne den Studierendenservice kontaktieren zu müssen.\n\nUnverzüglich nach der Verbuchung des Semesterbeitrages haben Sie Zugriff auf Ihr Semesterticket (frühestens 45 Tage vor Beginn des neuen Semesters).\n\nEine detaillierte Anleitung zur Bestellung des Online-Tickets erhalten Sie als PDF-Datei in der Downloadbox.\n\n \n\n Semesterticket bei Beurlaubung  \n\nFalls Sie beurlaubt sind und das Semesterticket erwerben möchten, gehen Sie folgendermaßen vor:\n\nauf dem Beurlaubungsantrag markieren Sie, dass Sie das Semesterticket erwerben möchten,\n\nim Zuge der Bearbeitung durch den Studierendenservice wird dies im LSF vermerkt,\n\nab diesem Zeitpunkt wird Ihnen im \n\n[LSF](http://www.fh-bielefeld.de/lsf)\n\n der Ticketpreis unter \"Studiumsverwaltung - Rückmeldung\" als \"Soll\" angezeigt,\n\nüberweisen Sie den erforderlichen Betrag nach dem bekannten Schema der \n\n[Rückmeldung](https://www.fh-bielefeld.de/rueckmeldung \"Rückmeldung\")\n\n,\n\nsobald der Betrag von uns verbucht wurde, können Sie Ihr Semesterticket im \n\n[Portal der Deutschen Bahn](https://www.ots-nrw.de/index.php/product/38/show/0/0/0/0/buy)\n\n anfordern.	Editorial		[]	false	[]	47
Semester- und Vorlesungszeiten	Die Semester gliedern sich grundsätzlich in die Semesterzeiten, in denen die Studierenden offiziell eingeschrieben sind und z. B. auch das NRW-Ticket gültig ist, sowie die Vorlesungszeiten, in denen der reguläre Vorlesungsbetrieb läuft. Klausuren und sonstige Leistungen (wie Hausarbeiten) sind aber in manchen Fällen auch außerhalb der Vorlesungszeiten zu erbringen!\n\n \n\nSemesterzeiten\n\nSommersemester**\n\n1. März – 31. August\n\nWintersemester\n\n**\n\n1. September – 28./29. Februar\n\n \n\nVorlesungszeiten Präsenzstudium\n\nSommersemester 2017\n\n**\n\n03.04.2017 – 28.07.2017\n\nWintersemester 2017/18\n\n**\n\n02.10.2017 – 16.02.2018\n\nSommersemester 2018\n\n**\n\n03.04.2018 – 27.07.2018\n\nWintersemester 2018/19\n\n**\n\n24.09.2018 – 08.02.2019\n\nSommersemester 2019\n\n**\n\n25.03.2019 – 19.07.2019\n\nWintersemester 2019/20\n\n**\n\n23.09.2019 – 07.02.2020\n\nSommersemester 2020\n\n**\n\n23.03.2020 – 17.07.2020\n\nWintersemester 2020/21\n\n**\n\n28.09.2020 – 12.02.2021\n\nSommersemester 2021\n\n**\n\n29.03.2021 – 23.07.2021\n\nWintersemester 2021/22\n\n**\n\n20.09.2021 – 04.02.2022\n\nSommersemester 2022\n\n**\n\n21.03.2022 – 15.07.2022\n\nWintersemester 2022/23\n\n**\n\n19.09.2022 – 03.02.2023\n\nSommersemester 2023\n\n**\n\n20.03.2023 – 14.07.2023\n\nWintersemester 2023/24\n\n**\n\n25.09.2023 – 09.02.2024\n\n \n\nDie Vorlesungszeiten der praxisintegrierten und berufsbegleitenden Verbundstudiengänge weichen hiervon ab.	Editorial		[]	false	[]	48
Semesterzeitraum	Die Semester gliedern sich grundsätzlich in die Semesterzeiten, in denen die Studierenden offiziell eingeschrieben sind und z. B. auch das NRW-Ticket gültig ist, sowie die Vorlesungszeiten, in denen der reguläre Vorlesungsbetrieb läuft. Klausuren und sonstige Leistungen (wie Hausarbeiten) sind aber in manchen Fällen auch außerhalb der Vorlesungszeiten zu erbringen!\n\n \n\nSemesterzeiten\n\nSommersemester**\n\n1. März – 31. August\n\nWintersemester\n\n**\n\n1. September – 28./29. Februar\n\n \n\nVorlesungszeiten Präsenzstudium\n\nSommersemester 2017\n\n**\n\n03.04.2017 – 28.07.2017\n\nWintersemester 2017/18\n\n**\n\n02.10.2017 – 16.02.2018\n\nSommersemester 2018\n\n**\n\n03.04.2018 – 27.07.2018\n\nWintersemester 2018/19\n\n**\n\n24.09.2018 – 08.02.2019\n\nSommersemester 2019\n\n**\n\n25.03.2019 – 19.07.2019\n\nWintersemester 2019/20\n\n**\n\n23.09.2019 – 07.02.2020\n\nSommersemester 2020\n\n**\n\n23.03.2020 – 17.07.2020\n\nWintersemester 2020/21\n\n**\n\n28.09.2020 – 12.02.2021\n\nSommersemester 2021\n\n**\n\n29.03.2021 – 23.07.2021\n\nWintersemester 2021/22\n\n**\n\n20.09.2021 – 04.02.2022\n\nSommersemester 2022\n\n**\n\n21.03.2022 – 15.07.2022\n\nWintersemester 2022/23\n\n**\n\n19.09.2022 – 03.02.2023\n\nSommersemester 2023\n\n**\n\n20.03.2023 – 14.07.2023\n\nWintersemester 2023/24\n\n**\n\n25.09.2023 – 09.02.2024\n\n \n\nDie Vorlesungszeiten der praxisintegrierten und berufsbegleitenden Verbundstudiengänge weichen hiervon ab.	Editorial		[]	false	[]	48
Vorlesungszeitraum	Die Semester gliedern sich grundsätzlich in die Semesterzeiten, in denen die Studierenden offiziell eingeschrieben sind und z. B. auch das NRW-Ticket gültig ist, sowie die Vorlesungszeiten, in denen der reguläre Vorlesungsbetrieb läuft. Klausuren und sonstige Leistungen (wie Hausarbeiten) sind aber in manchen Fällen auch außerhalb der Vorlesungszeiten zu erbringen!\n\n \n\nSemesterzeiten\n\nSommersemester**\n\n1. März – 31. August\n\nWintersemester\n\n**\n\n1. September – 28./29. Februar\n\n \n\nVorlesungszeiten Präsenzstudium\n\nSommersemester 2017\n\n**\n\n03.04.2017 – 28.07.2017\n\nWintersemester 2017/18\n\n**\n\n02.10.2017 – 16.02.2018\n\nSommersemester 2018\n\n**\n\n03.04.2018 – 27.07.2018\n\nWintersemester 2018/19\n\n**\n\n24.09.2018 – 08.02.2019\n\nSommersemester 2019\n\n**\n\n25.03.2019 – 19.07.2019\n\nWintersemester 2019/20\n\n**\n\n23.09.2019 – 07.02.2020\n\nSommersemester 2020\n\n**\n\n23.03.2020 – 17.07.2020\n\nWintersemester 2020/21\n\n**\n\n28.09.2020 – 12.02.2021\n\nSommersemester 2021\n\n**\n\n29.03.2021 – 23.07.2021\n\nWintersemester 2021/22\n\n**\n\n20.09.2021 – 04.02.2022\n\nSommersemester 2022\n\n**\n\n21.03.2022 – 15.07.2022\n\nWintersemester 2022/23\n\n**\n\n19.09.2022 – 03.02.2023\n\nSommersemester 2023\n\n**\n\n20.03.2023 – 14.07.2023\n\nWintersemester 2023/24\n\n**\n\n25.09.2023 – 09.02.2024\n\n \n\nDie Vorlesungszeiten der praxisintegrierten und berufsbegleitenden Verbundstudiengänge weichen hiervon ab.	Editorial		[]	false	[]	48
